time (s)	magX	magY	magZ
2472.502625	-165.481003	-287.950897	719.660400
2472.505937	-159.519577	-285.437775	729.128601
2472.509269	-153.149033	-282.340149	736.551147
2472.512607	-146.603149	-279.417877	746.662170
2472.515950	-139.940384	-276.203369	753.909424
2472.519282	-132.751602	-272.930450	762.734619
2472.522603	-125.679718	-268.605499	770.624756
2472.525939	-118.432495	-264.222076	778.281067
2472.529265	-110.893051	-260.540039	786.463501
2472.532606	-103.528931	-256.331970	793.769165
2472.535930	-96.106369	-252.474579	801.133240
2472.539270	-87.573349	-248.383423	807.503784
2472.542599	-79.566330	-243.473999	814.575684
2472.545964	-71.383987	-239.149017	820.127991
2472.549265	-62.734070	-234.531860	826.206299
2472.552598	-54.610168	-229.680878	830.998840
2472.555936	-45.258911	-224.713013	835.791321
2472.559263	-37.251900	-219.978958	841.226746
2472.562604	-27.725307	-215.011108	845.201050
2472.565933	-18.549385	-209.751022	851.396240
2472.569267	-9.548801	-205.309189	854.669189
2472.572597	0.620689	-199.230865	857.474609
2472.575934	10.147283	-194.204559	861.273499
2472.579263	20.082993	-189.295166	863.728210
2472.582598	30.603157	-184.093506	865.481567
2472.585939	41.298656	-177.781418	867.468689
2472.590546	60.994740	-165.800110	869.514282
2472.593447	70.988892	-159.604919	869.572754
2472.596781	81.509064	-154.169495	872.027466
2472.600134	92.204559	-147.565170	870.800110
2472.603476	102.724724	-141.253067	870.040283
2472.606412	112.718880	-134.122742	869.280518
2472.609714	123.239044	-127.869080	868.286987
2472.613045	133.583862	-121.381653	865.832275
2472.616348	143.285797	-114.368210	864.078857
2472.619716	153.572174	-107.822327	862.033325
2472.623021	163.683228	-100.692001	859.052612
2472.625926	173.151382	-93.736992	855.545898
2472.629259	183.145523	-86.606667	851.688477
2472.632595	192.613678	-79.242546	847.538879
2472.635920	201.789597	-71.761543	842.921631
2472.639261	211.608414	-65.040329	837.310913
2472.642591	221.076569	-57.325539	833.044434
2472.645923	229.317352	-50.545883	828.661011
2472.649283	237.733490	-43.123322	821.589111
2472.652590	245.389816	-36.402107	816.153687
2472.655919	253.046188	-29.154884	809.549377
2472.659252	261.228516	-22.258327	803.061951
2472.662599	268.358856	-15.244888	796.457581
2472.665979	275.255402	-8.815899	789.677979
2472.669259	282.035065	-2.211575	782.255371
2472.672589	289.106934	4.042080	774.891296
2472.675917	295.477478	9.594387	766.708923
2472.679253	301.964905	15.380477	758.994141
2472.682584	307.751038	20.932785	751.104065
2472.685920	313.069580	26.894213	741.928101
2472.689253	318.388062	33.323200	734.271729
2472.692585	323.765015	38.349503	725.271179
2472.695918	329.200439	42.849792	715.569214
2472.699252	333.817627	48.168320	706.685547
2472.702585	338.493286	52.610168	697.977173
2472.705936	343.052002	57.227352	688.859741
2472.709246	347.435425	61.493858	678.924011
2472.712577	351.760376	65.760376	669.631226
2472.715915	355.208679	69.559319	660.981323
2472.719253	359.066040	73.533607	650.461121
2472.722585	361.812988	77.449448	640.642273
2472.725915	365.085937	80.897720	630.531250
2472.730176	370.346008	87.209816	609.900085
2472.733511	373.151367	90.658096	600.782532
2472.736809	375.313843	94.047928	590.496155
2472.740102	377.885437	97.437752	580.209839
2472.743424	379.054382	100.184685	569.864990
2472.746776	380.866150	102.814728	560.221497
2472.750133	381.684387	105.795441	549.292236
2472.753054	382.502625	109.360611	539.064331
2472.756354	383.963745	111.756866	528.836365
2472.759693	385.015747	114.328461	519.660400
2472.762995	385.483337	116.900063	509.198700
2472.766341	386.126221	119.471657	500.081238
2472.769678	385.658691	121.049675	490.145508
2472.772577	385.717102	124.322617	480.560455
2472.775917	385.249573	125.959091	471.092346
2472.779257	384.957336	128.004669	461.857971
2472.782573	384.080627	129.933380	452.974274
2472.785912	383.905334	131.511383	444.441254
2472.789237	381.918152	134.258331	436.375793
2472.792574	381.625916	134.901230	427.667419
