time (s)	det(V)
879.804484	-0.271323	
879.806051	-0.327345	
879.807673	-0.189572	
879.809252	-0.327228	
879.810836	-0.257647	
879.812427	-0.349170	
879.813995	-0.273148	
879.815603	-0.373437	
879.817129	-0.290429	
879.818811	-0.392974	
879.820298	-0.336980	
879.822043	-0.381183	
879.823606	-0.338966	
879.825311	-0.380849	
879.826864	-0.353053	
879.828554	-0.439372	
879.830105	-0.376671	
879.831799	-0.425337	
879.833322	-0.418639	
879.835057	-0.470809	
879.836557	-0.406497	
879.838337	-0.412447	
879.839817	-0.486705	
879.841577	-0.477831	
879.843058	-0.446108	
879.844829	-0.463820	
879.846313	-0.486947	
879.848072	-0.458708	
879.849571	-0.568738	
879.851329	-0.551086	
879.852840	-0.588811	
879.854568	-0.511882	
879.856086	-0.584766	
879.857792	-0.538787	
879.859333	-0.593693	
879.861033	-0.530775	
879.862588	-0.643354	
879.864267	-0.550457	
879.865853	-0.631845	
879.867528	-0.552544	
879.869098	-0.710410	
879.870737	-0.594648	
879.872326	-0.761461	
879.873976	-0.630343	
879.875594	-0.706913	
879.877211	-0.658585	
879.878859	-0.717145	
879.880459	-0.679428	
879.882116	-0.793014	
879.883713	-0.716118	
879.885374	-0.847203	
879.886957	-0.760643	
879.888651	-0.847977	
879.890215	-0.822864	
879.891927	-0.877186	
879.893469	-0.832347	
879.895187	-0.871824	
879.896727	-0.890999	
879.898441	-0.921550	
879.899941	-0.955823	
879.901713	-0.995160	
879.903190	-0.991736	
879.904958	-0.993556	
879.906443	-1.032119	
879.908219	-1.048357	
879.909702	-1.065869	
879.911454	-1.067218	
879.912942	-1.146564	
879.914698	-1.115026	
879.916233	-1.229451	
879.917732	-1.224339	
879.919312	-1.218788	
879.920815	-1.238019	
879.922481	-1.331722	
879.923978	-1.265597	
879.925606	-1.328523	
879.927136	-1.326872	
879.928774	-1.392586	
879.930265	-1.373048	
879.931929	-1.437445	
879.933399	-1.470409	
879.935049	-1.488109	
879.936533	-1.542415	
879.938177	-1.524908	
879.939658	-1.549569	
879.941340	-1.539257	
879.942836	-1.550600	
879.944481	-1.549899	
879.946021	-1.551019	
879.947653	-1.550919	
879.949228	-1.550999	
879.950823	-1.550991	
879.952423	-1.550798	
879.953983	-1.551160	
879.955602	-1.551152	
879.957119	-1.551108	
879.958802	-1.551116	
879.960408	-1.551104	
879.962085	-1.551068	
879.963662	-1.551124	
879.965356	-1.551180	
879.966913	-1.551241	
879.968599	-1.551140	
879.970157	-1.551185	
879.971834	-1.551031	
879.973379	-1.551172	
879.975089	-1.550995	
879.976619	-1.551144	
879.978368	-1.551209	
879.979852	-1.551213	
879.981642	-1.551096	
879.983131	-1.551176	
879.984898	-1.551152	
879.986380	-1.551136	
879.988154	-1.551277	
879.989644	-1.551301	
879.991420	-1.551176	
879.992913	-1.551253	
879.994657	-1.551237	
879.996175	-1.551229	
879.997910	-1.551164	
879.999429	-1.551233	
880.001152	-1.551132	
880.002700	-1.551305	
880.004426	-1.551185	
880.005970	-1.551245	
880.007685	-1.551217	
880.009231	-1.551229	
880.010914	-1.551185	
880.012479	-1.551265	
880.014150	-1.551072	
880.015745	-1.551265	
880.017378	-1.551116	
880.018983	-1.551329	
880.020632	-1.551177	
880.022236	-1.551205	
880.023866	-1.551213	
880.025496	-1.551342	
880.027107	-1.551172	
880.028770	-1.551245	
880.030343	-1.551253	
880.032036	-1.551056	
880.033631	-1.551104	
880.035307	-1.551281	
880.036889	-1.551229	
880.038609	-1.551176	
880.040164	-1.551273	
880.041861	-1.551269	
880.043407	-1.551189	
880.045121	-1.551213	
880.046663	-1.551334	
880.048388	-1.551184	
880.049891	-1.551249	
880.051654	-1.551156	
880.053153	-1.551225	
880.054700	-1.551354	
880.056221	-1.551277	
880.057802	-1.551233	
880.059334	-1.551329	
880.060846	-1.551281	
880.062485	-1.551374	
880.063978	-1.551201	
880.065618	-1.551265	
880.067143	-1.551269	
880.068790	-1.551362	
880.070284	-1.551338	
880.071952	-1.551237	
880.073426	-1.551213	
880.075144	-1.551225	
880.076629	-1.551317	
880.078341	-1.551253	
880.079822	-1.551277	
880.081523	-1.551156	
880.083005	-1.551301	
880.084686	-1.551305	
880.086194	-1.551293	
880.087845	-1.551176	
880.089377	-1.551317	
880.091001	-1.551309	
880.092572	-1.551309	
880.094267	-1.551148	
880.095834	-1.551289	
880.097501	-1.551193	
880.099083	-1.551370	
880.100744	-1.551120	
880.102351	-1.551297	
880.103965	-1.551172	
880.105584	-1.551338	
880.107217	-1.551205	
880.108852	-1.551265	
880.110462	-1.551205	
880.112105	-1.551225	
880.113704	-1.551241	
880.115387	-1.551213	
880.116964	-1.551249	
880.118662	-1.551273	
880.120239	-1.551241	
880.121916	-1.551305	
880.123475	-1.551241	
880.125148	-1.551313	
880.126715	-1.551249	
880.128453	-1.551225	
880.129977	-1.551185	
880.131692	-1.551197	
880.133174	-1.551322	
880.134937	-1.551245	
880.136424	-1.551209	
880.138209	-1.551257	
880.139702	-1.551189	
880.141478	-1.551253	
880.142961	-1.551289	
880.144746	-1.551209	
880.146233	-1.551265	
880.147981	-1.551201	
880.149491	-1.551249	
880.151224	-1.551144	
880.152736	-1.551285	
880.154455	-1.551217	
880.156008	-1.551325	
880.157731	-1.551152	
880.159271	-1.551237	
880.160958	-1.551193	
880.162520	-1.551346	
880.164218	-1.551160	
880.165781	-1.551346	
880.167446	-1.551104	
880.169045	-1.551309	
880.170706	-1.551100	
880.172304	-1.551253	
880.173951	-1.551148	
880.175551	-1.551305	
880.177169	-1.551293	
880.178851	-1.551257	
880.180448	-1.551229	
880.182122	-1.551322	
880.183720	-1.551237	
880.185369	-1.551245	
880.186967	-1.551172	
880.188637	-1.551281	
880.190124	-1.551189	
880.191761	-1.551249	
880.193246	-1.551386	
880.194890	-1.551160	
880.196382	-1.551301	
880.197978	-1.551128	
880.199480	-1.551322	
880.201057	-1.551237	
880.202615	-1.551293	
880.204119	-1.551233	
880.205759	-1.551273	
880.207328	-1.551269	
880.208938	-1.551309	
880.210478	-1.551136	
880.212148	-1.551285	
880.213624	-1.551193	
880.215355	-1.551112	
880.216835	-1.551189	
880.218562	-1.551261	
880.220036	-1.551269	
880.221735	-1.551144	
880.223216	-1.551293	
880.224926	-1.551188	
880.226418	-1.551273	
880.228190	-1.551128	
880.229674	-1.551265	
880.231437	-1.551015	
880.232917	-1.551189	
880.234664	-1.551136	
880.236170	-1.551253	
880.237900	-1.551180	
880.239422	-1.551197	
880.241162	-1.551132	
880.242689	-1.551217	
880.244416	-1.551213	
880.245953	-1.551209	
880.247656	-1.551108	
880.249207	-1.551225	
880.250914	-1.551156	
880.252478	-1.551213	
880.254133	-1.551205	
880.255720	-1.551197	
880.257374	-1.551128	
880.258971	-1.550991	
880.260620	-1.551044	
880.262232	-1.550903	
880.263871	-1.512770	
880.265503	-1.530612	
880.267109	-1.460056	
880.268787	-1.495868	
880.270372	-1.352979	
880.272028	-1.335625	
880.273620	-1.224866	
880.275285	-1.237423	
880.276861	-1.089132	
880.278571	-1.075259	
880.280122	-0.996847	
880.281841	-0.991296	
880.283396	-0.907475	
880.285105	-0.898387	
880.286648	-0.820802	
