time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
1767.936387	14.243297	-0.690303	-0.100000	89
1769.953925	22.909943	-0.671317	-0.044869	91
1771.974581	23.232485	-0.603068	-0.040465	93
1773.997230	23.391533	-0.546095	-0.037967	95
1776.024679	23.265764	-0.498981	-0.034519	97
1778.052282	23.216015	-0.453848	-0.031890	99
1780.077151	23.621250	-0.412437	-0.030038	101
1782.093499	23.633575	-0.372275	-0.027547	103
1784.113211	23.902884	-0.334059	-0.026093	105
1786.127885	24.256960	-0.298923	-0.024335	107
1788.134442	24.700033	-0.265068	-0.022554	109
1790.143222	25.726536	-0.232657	-0.023653	111
1792.154979	27.258608	-0.203911	-0.026617	113
1794.171284	29.993690	-0.175140	-0.032548	115
1796.184208	38.377357	-0.144460	-0.049783	117
1798.201058	35.193783	-0.134207	-0.038809	119
1800.170023	45.600441	-0.109800	-0.054267	121
1802.263025	65.411499	-0.035913	-0.100000	123
