crossing time (s)	slope (V/s)	crossing number
2070.648101	60.054140	1652
2071.580546	54.032640	1653
2072.651558	52.056321	1654
2073.582182	51.513308	1655
2074.625704	51.918130	1656
2075.603431	47.311393	1657
2076.711669	42.529356	1658
2077.649034	40.625399	1659
2078.730567	31.636770	1660
2079.651993	32.505611	1661
2080.732530	28.813519	1662
2081.697805	29.491314	1663
2082.785901	29.180048	1664
2083.656922	23.655695	1665
2084.794129	22.505619	1666
2085.708346	22.283135	1667
2086.890678	20.126900	1668
2087.744745	16.839931	1669
2088.911874	17.327550	1670
2089.746958	19.072976	1671
2090.936984	15.231101	1672
2091.792453	13.885058	1673
2092.976482	12.625866	1674
2093.831198	11.247890	1675
2094.990936	10.685145	1676
2095.826127	11.098277	1677
2097.006725	8.405309	1678
2097.882091	9.584985	1679
2099.069353	6.817711	1680
2099.911650	10.112270	1681
2101.091287	8.345336	1682
2101.942442	5.956960	1683
2103.174940	5.547808	1684
2103.905051	6.741014	1685
2105.210032	5.841877	1686
2105.940958	5.235159	1687
2107.202718	4.516118	1688
2108.018076	4.985366	1689
2109.226613	3.706309	1690
2109.980387	2.333292	1691
2111.278134	1.796345	1692
2111.976135	2.440442	1693
2113.332002	1.171733	1694
2114.064434	3.841181	1695
2115.343631	2.440089	1696
2116.056651	1.555522	1697
2117.427033	0.486896	1698
2118.041952	-0.291005	1699
2119.453080	1.792798	1700
2120.073187	1.601745	1701
2121.538153	1.372757	1702
2122.108349	0.344835	1703
2123.541998	0.912089	1704
2124.177539	2.124528	1705
2125.568951	1.662453	1706
