crossing time (s)	slope (V/s)	crossing number
4496.189219	50.135672	3958
4497.279512	37.232889	3959
4498.225844	45.994407	3960
4499.294553	39.100272	3961
4500.216708	44.626307	3962
4501.298857	38.449812	3963
4502.257876	39.667775	3964
4503.319361	32.666039	3965
4504.267550	37.501289	3966
4505.368898	33.389991	3967
4506.300575	35.477318	3968
4507.357922	31.215627	3969
4508.313158	33.161697	3970
4509.407639	28.627018	3971
4510.336530	29.638817	3972
4511.445243	28.135574	3973
4512.368205	29.766004	3974
4513.435106	26.741283	3975
4514.425643	28.920503	3976
4515.439589	27.237175	3977
4516.393873	23.314865	3978
4517.498115	21.403395	3979
4518.449081	25.568523	3980
4519.530172	23.286013	3981
4520.479210	22.760439	3982
4521.577580	20.289032	3983
4522.461403	21.015764	3984
4523.579714	20.083082	3985
4524.543692	21.063975	3986
4525.606291	18.954819	3987
4526.546828	17.368541	3988
4527.634552	18.525733	3989
4528.569204	18.133270	3990
4529.658956	16.745381	3991
4530.584610	17.863720	3992
4531.678290	14.542874	3993
4532.577548	14.944579	3994
4533.720658	15.604564	3995
4534.608439	15.081126	3996
4535.729969	13.989276	3997
4536.633701	14.976693	3998
4537.788281	13.174703	3999
4538.600826	12.301461	4000
4539.815170	12.345635	4001
4540.693261	13.094294	4002
4541.827160	12.282193	4003
4542.712109	13.637621	4004
4543.813839	12.318774	4005
4544.724042	13.752059	4006
4545.865164	11.991013	4007
4546.778067	11.525201	4008
4547.941157	8.945706	4009
4548.768638	10.795492	4010
4549.901612	10.311489	4011
4550.797073	11.276229	4012
4551.947375	9.623782	4013
4552.848123	9.527515	4014
4553.978658	11.246909	4015
4554.862456	8.273857	4016
4556.036603	6.421426	4017
4556.878118	8.883746	4018
4558.082885	7.611758	4019
4558.893126	8.283104	4020
4560.104132	7.373125	4021
4560.943804	6.483617	4022
4562.112430	4.043680	4023
4562.970713	4.070950	4024
4564.148357	6.808817	4025
4564.972450	4.242648	4026
4566.179914	4.518991	4027
4567.034293	6.625256	4028
4568.187260	4.483075	4029
4569.003036	2.208263	4030
4570.213480	4.496636	4031
4571.066099	2.915999	4032
4572.244700	5.650685	4033
4573.070140	6.349578	4034
4574.305463	5.065808	4035
