time (s)	magX	magY	magZ
3469.916183	458.656921	172.540039	347.421967
3469.919522	452.929260	173.592041	338.479828
3469.922851	448.545898	174.936295	328.953247
3469.926184	442.935120	175.696075	319.075958
3469.929519	437.616577	177.274109	311.068970
3469.932868	432.473450	177.449448	302.126831
3469.936221	427.447144	177.274109	293.593781
3469.939516	422.713074	178.618347	285.586792
3469.942855	417.219177	179.378143	278.105804
3469.946183	412.660461	179.845703	269.338989
3469.949516	407.400330	179.787262	262.325531
3469.952848	402.198730	179.904160	255.136749
3469.956183	396.821716	180.430145	246.779083
3469.959514	392.730591	179.962585	240.057861
3469.962848	388.639404	179.670380	234.096436
3469.966182	382.677979	179.728806	227.258331
3469.969515	378.060791	179.144363	220.595551
3469.972848	373.677368	178.443024	215.043243
3469.976178	369.410889	178.910583	209.549377
3469.979533	364.852173	178.267685	203.178833
3469.982845	360.527161	177.683228	198.620102
3469.986184	356.319092	176.864990	192.834015
3469.990451	347.610779	175.929855	182.839844
3469.993770	343.870239	175.228516	178.748688
3469.997029	340.421936	174.468735	174.482178
3470.000366	336.272339	174.351837	170.098770
3470.003701	333.350098	173.475159	166.182922
3470.007051	329.317383	172.481583	162.734650
3470.009993	326.278198	172.189362	158.526581
3470.013288	322.654602	171.721802	154.844543
3470.016627	318.388062	170.202225	151.571594
3470.019957	314.939819	169.559326	147.947983
3470.023409	312.017517	168.974869	144.967255
3470.026593	308.861511	167.981293	141.986557
3470.029931	305.530090	167.513733	138.538269
3470.032849	302.374084	167.046173	136.492691
3470.036177	299.510193	166.637054	133.219757
3470.039504	296.178833	166.344818	129.303925
3470.042839	293.607239	165.292816	127.258324
3470.046177	290.743408	164.708359	124.511391
3470.049506	287.879639	164.357681	121.296898
3470.052840	284.898865	163.773224	119.192871
3470.056175	281.976624	162.253662	116.679718
3470.059506	279.755676	161.786087	114.517242
3470.062838	276.015198	161.376968	111.887192
3470.066197	274.729401	160.850967	109.724716
3470.069500	271.865601	160.324951	107.270020
3470.072836	269.293976	159.740494	104.464638
3470.076173	266.663940	159.039154	102.243713
3470.079509	265.027466	158.337799	100.139679
3470.082837	262.514343	158.104034	98.327873
3470.086169	260.410278	157.461136	95.697830
3470.089546	257.604919	157.052017	93.710693
3470.092844	255.968430	156.409119	91.957329
3470.096174	254.156631	155.064880	90.379303
3470.099503	251.994156	154.889542	88.859726
3470.102835	250.416138	154.772644	87.106369
3470.106170	247.961426	154.889542	86.346581
3470.109535	245.974274	153.253067	84.593216
3470.112831	245.039154	153.311523	83.599648
3470.116183	242.993576	152.902390	81.670952
3470.119503	241.181763	152.142609	80.618935
3470.122836	239.895966	152.201050	79.391579
3470.127516	237.090591	151.032135	77.345993
3470.130399	236.213898	151.207489	76.586205
3470.133776	234.168320	149.804794	75.417297
3470.137089	233.525421	149.921692	73.722382
3470.140417	232.298065	149.746338	74.306831
3470.143674	230.778488	149.629456	73.313263
3470.147004	230.194046	149.045013	71.618347
3470.149926	229.317352	148.869659	70.449440
3470.153294	228.616028	148.694336	70.566330
3470.156581	226.921112	148.402100	69.338982
3470.159930	226.687317	148.869659	68.929863
3470.163301	225.635300	147.583862	68.228516
3470.166157	224.524826	148.168320	67.936295
3470.169498	223.648163	147.700745	68.345406
3470.172825	222.888367	148.051422	67.527176
3470.176165	222.303909	148.051422	66.942719
3470.179498	221.310349	147.876099	66.007591
3470.182844	221.135010	148.285217	65.656921
3470.186168	219.966110	147.934540	65.014023
3470.189497	220.024551	147.992981	64.955582
3470.192829	218.972534	147.934540	64.429573
3470.196194	218.271179	148.226761	64.312683
3470.199486	217.920517	148.518997	64.312683
3470.202831	217.277618	148.343658	63.845116
3470.206165	217.043839	148.635880	63.260662
3470.209491	216.167160	148.460541	63.319107
3470.212823	215.991821	148.343658	63.085327
3470.216153	215.758041	148.285217	62.559319
3470.219490	215.991821	148.168320	62.617764
3470.222821	214.939804	148.986557	63.085327
3470.226155	214.998245	148.168320	62.851547
3470.229489	214.822922	148.635880	62.617764
3470.232826	214.355347	148.811218	61.624191
3470.236161	214.121567	149.512573	62.325539
3470.239505	214.180008	150.038574	61.565750
3470.242820	214.180008	150.097015	61.507301
3470.246150	214.004669	151.090591	61.741085
3470.249488	213.946228	150.681473	62.676208
3470.252817	213.887787	151.908829	62.734657
3470.256149	214.180008	152.551727	62.617764
3470.259522	214.121567	152.785507	63.085327
3470.262871	214.764465	153.136169	63.377556
3470.267432	215.348907	154.188202	63.143772
3470.270339	215.991821	154.188202	63.669781
3470.273659	216.693161	154.772644	64.254234
3470.277015	217.160721	155.590881	65.306252
3470.280386	218.271179	155.766205	65.481590
3470.283763	218.504974	156.818237	66.592049
3470.286594	219.790771	157.694916	67.702507
3470.289914	220.375214	158.688492	68.579193
3470.293237	220.550552	159.156052	69.338982
3470.296577	221.661026	159.915848	70.390999
3470.299900	222.479248	161.026306	70.741669
3470.303241	222.771484	161.435410	72.085915
3470.306594	224.349503	162.604324	74.014610
3470.309481	224.466400	163.364120	74.891289
3470.312813	225.985977	164.065460	76.703094
3470.316144	226.219757	165.175919	76.235535
3470.319483	227.096436	166.578598	77.462883
3470.322815	228.849792	167.046173	78.748680
3470.326148	229.726486	167.922852	79.333138
3470.329479	230.895370	168.974869	81.261833
3470.332814	231.596741	169.734665	81.670952
3470.336148	232.531860	171.371124	82.839859
3470.339475	233.934555	172.364700	83.833427
3470.342884	234.460541	173.299835	85.119225
3470.346154	235.921692	174.351837	85.879013
3470.349473	237.265915	175.929855	87.281700
3470.352813	238.960846	176.923431	89.210403
3470.356144	239.954407	178.443024	91.022202
3470.359477	241.240219	178.676804	92.366447
3470.362807	242.467575	180.371719	92.717117
3470.366143	244.688492	182.183517	95.464050
3470.369511	245.623611	183.644653	96.925186
3470.372813	247.435425	185.164230	98.269432
3470.376142	248.954987	186.333130	100.431908
3470.379479	250.474579	188.028046	102.769722
3470.382810	252.286392	189.313858	104.464638
3470.386144	253.689072	191.359436	106.101105
3470.389477	255.208664	192.586792	108.964935
3470.392806	256.903564	194.457047	110.659843
3470.396136	259.066040	196.093521	112.588539
3470.399469	261.286987	198.431320	115.803040
3470.402800	263.274109	199.483337	117.322617
3470.406133	265.319702	201.587372	120.011101
3470.409469	267.014587	203.516068	123.342484
3470.412860	270.053772	204.918762	127.316772
3470.416147	271.514893	207.081238	129.362366
3470.419476	273.911163	208.659256	133.278198
3470.424096	279.112793	212.984222	139.882523
3470.426995	280.924622	215.146698	143.038574
3470.430338	284.080627	217.367615	147.363525
3470.433679	286.827576	218.887207	150.870239
3470.437076	289.106934	221.692581	154.376984
3470.440415	292.555237	223.329041	158.526581
3470.443736	295.126831	225.023956	163.026886
3470.446985	297.639954	227.595551	166.650482
3470.449914	300.153137	229.874924	170.917007
3470.453228	303.133850	231.803619	175.241974
3470.456587	305.997681	234.141434	180.794281
3470.459886	309.504395	236.537689	185.119232
