time (s)	det(V)
3871.295635	1.487595	
3871.297151	1.583904	
3871.298759	1.676757	
3871.300279	1.698482	
3871.301843	1.702143	
3871.303440	1.702059	
3871.304935	1.702159	
3871.306600	1.702361	
3871.308101	1.702655	
3871.309720	1.702304	
3871.311246	1.702772	
3871.312888	1.702389	
3871.314371	1.702635	
3871.316026	1.702744	
3871.317518	1.702647	
3871.319238	1.702764	
3871.320721	1.702683	
3871.322435	1.702736	
3871.323926	1.702876	
3871.325637	1.702723	
3871.327120	1.702655	
3871.328785	1.702816	
3871.330308	1.702615	
3871.331948	1.702756	
3871.333497	1.702699	
3871.335203	1.702820	
3871.336762	1.702735	
3871.338448	1.702868	
3871.340010	1.702840	
3871.341667	1.702877	
3871.343262	1.702768	
3871.344906	1.702727	
3871.346507	1.702675	
3871.348159	1.702909	
3871.349768	1.702735	
3871.351411	1.702981	
3871.353027	1.702691	
3871.354657	1.702780	
3871.356330	1.702691	
3871.357921	1.702808	
3871.359603	1.702651	
3871.361187	1.702836	
3871.362861	1.702699	
3871.364449	1.702965	
3871.366117	1.702735	
3871.367682	1.702816	
3871.369377	1.702780	
3871.370916	1.702796	
3871.372621	1.702792	
3871.374127	1.702764	
3871.375898	1.702804	
3871.377388	1.702864	
3871.379149	1.702840	
3871.380642	1.702901	
3871.382414	1.702832	
3871.383896	1.702820	
3871.385679	1.702824	
3871.387160	1.702897	
3871.388944	1.702865	
3871.390438	1.702756	
3871.392178	1.702788	
3871.393684	1.702748	
3871.395436	1.702840	
3871.396951	1.702740	
3871.398677	1.702877	
3871.400199	1.702731	
3871.401900	1.702860	
3871.403449	1.702872	
3871.405164	1.702840	
3871.406730	1.702776	
3871.408437	1.702953	
3871.410004	1.702727	
3871.411683	1.702856	
3871.413260	1.702699	
3871.414921	1.702877	
3871.416515	1.702663	
3871.418173	1.702885	
3871.419792	1.702639	
3871.421420	1.702864	
3871.423057	1.702663	
3871.424687	1.702816	
3871.426326	1.702595	
3871.427937	1.702832	
3871.429591	1.702728	
3871.431083	1.702784	
3871.432645	1.702764	
3871.434142	1.702724	
3871.435775	1.702756	
3871.437259	1.702804	
3871.438895	1.702772	
3871.440392	1.702748	
3871.441976	1.702719	
3871.443510	1.702578	
3871.445037	1.702828	
3871.446664	1.702719	
3871.448156	1.702808	
3871.449769	1.702711	
3871.451305	1.702768	
3871.452940	1.702747	
3871.454418	1.702772	
3871.456069	1.702788	
3871.457547	1.702679	
3871.459252	1.702808	
3871.460738	1.702743	
3871.462454	1.702784	
3871.463942	1.702800	
3871.465648	1.702764	
3871.467139	1.702744	
3871.468833	1.702860	
3871.470351	1.702764	
3871.472013	1.702860	
3871.473535	1.702643	
3871.475180	1.702735	
3871.476729	1.702748	
3871.478425	1.702808	
3871.480002	1.702784	
3871.481682	1.702824	
3871.483262	1.702639	
3871.484932	1.702784	
3871.486522	1.702695	
3871.488169	1.702873	
3871.489768	1.702760	
3871.491387	1.702844	
3871.493005	1.702667	
3871.494615	1.702800	
3871.496296	1.702727	
3871.497885	1.702804	
3871.499575	1.702695	
3871.501163	1.702852	
3871.502853	1.702691	
3871.504442	1.702756	
3871.506126	1.702667	
3871.507703	1.702832	
3871.509390	1.702683	
3871.510938	1.702764	
3871.512662	1.702667	
3871.514200	1.702812	
3871.515924	1.702740	
3871.517439	1.702728	
3871.519169	1.702752	
3871.520659	1.702860	
3871.522452	1.702679	
3871.523930	1.702723	
3871.525724	1.702804	
3871.527207	1.702651	
3871.528981	1.702333	
3871.530465	1.702675	
3871.532211	1.702715	
3871.533715	1.702711	
3871.535471	1.702675	
3871.536982	1.702760	
3871.538705	1.702663	
3871.540223	1.702591	
3871.541953	1.702365	
3871.543488	1.702703	
3871.545192	1.702268	
3871.546736	1.702607	
3871.548438	1.702514	
3871.550009	1.702313	
3871.551708	1.702425	
3871.553280	1.701849	
3871.554948	1.699722	
3871.556534	1.664974	
3871.558174	1.688233	
3871.559763	1.649578	
3871.561381	1.657147	
3871.563012	1.552689	
3871.564618	1.592807	
3871.566312	1.491068	
3871.567922	1.546944	
3871.569565	1.444069	
3871.571168	1.483768	
3871.572836	1.358314	
3871.574411	1.423698	
3871.576102	1.385211	
3871.577656	1.363756	
3871.579349	1.323622	
3871.580903	1.301172	
3871.582618	1.284294	
3871.584176	1.274215	
3871.585914	1.284330	
3871.587417	1.267371	
3871.589182	1.230278	
3871.590666	1.221416	
3871.592453	1.197830	
3871.593938	1.152249	
3871.595469	1.172109	
3871.597022	1.086765	
3871.598582	1.149615	
3871.600145	1.024366	
3871.601668	1.149087	
3871.603306	1.091873	
3871.604795	1.091647	
3871.606428	1.004450	
3871.607951	1.065701	
3871.609595	1.044766	
3871.611071	0.984736	
3871.612705	1.028709	
3871.614187	1.021502	
3871.615821	1.079159	
3871.617316	0.994267	
3871.619017	1.063381	
3871.620519	1.005885	
3871.622212	1.033196	
3871.623704	0.925910	
3871.625371	0.967209	
3871.626886	0.870021	
3871.628523	1.035763	
3871.630064	0.905168	
3871.631691	0.914752	
3871.633275	0.876051	
3871.634944	0.966447	
3871.636526	0.781535	
3871.638187	0.924198	
3871.639795	0.797121	
3871.641437	0.889792	
3871.643034	0.771472	
3871.644667	0.818757	
3871.646302	0.692050	
3871.647911	0.781249	
3871.649569	0.742102	
3871.651148	0.717505	
3871.652839	0.675546	
3871.654424	0.706363	
3871.656107	0.601058	
3871.657678	0.625784	
3871.659358	0.577775	
3871.660922	0.596458	
3871.662638	0.553049	
3871.664182	0.572606	
3871.665903	0.550193	
3871.667408	0.527682	
3871.669163	0.477026	
3871.670653	0.481744	
3871.672414	0.487137	
3871.673903	0.444010	
3871.675698	0.429988	
3871.677175	0.392585	
