time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
0.000000	339.969513	-0.012927	0.018411	217
4182.771965	25.869061	-0.276916	-0.100000	219
4184.812639	208.558060	-0.663239	-0.034905	221
4186.845121	208.642822	-0.639956	-0.032910	223
4188.869051	208.272476	-0.618808	-0.032365	225
4190.893657	208.047012	-0.595545	-0.032080	227
4192.922890	208.092972	-0.568952	-0.031414	229
4194.953987	207.977692	-0.540919	-0.031087	231
4196.991043	207.460144	-0.511913	-0.031956	233
4199.022998	206.915543	-0.493157	-0.033556	235
4201.045472	207.613800	-0.481617	-0.033168	237
4203.060368	209.319092	-0.465038	-0.027929	239
4205.094421	208.948425	-0.435943	-0.025044	241
4207.136830	207.104401	-0.410809	-0.028733	243
4209.176499	206.011032	-0.390465	-0.034126	245
4211.204555	206.395966	-0.376822	-0.032957	247
4213.223296	207.132065	-0.363051	-0.029685	249
4215.250265	207.249619	-0.346933	-0.028189	251
4217.284103	206.838852	-0.327179	-0.028786	253
4219.322110	206.468765	-0.306837	-0.030036	255
4221.364893	205.952377	-0.284638	-0.032434	1
4223.402027	205.731216	-0.268314	-0.033000	3
4225.417126	299.459991	-0.009371	-0.100000	5
4228.161777	31.090298	-0.283492	-0.018365	7
4229.460711	282.800690	-0.034577	-0.097746	9
4231.299198	118.962959	-0.018321	-0.100000	11
4233.692612	97.289116	-0.058556	-0.100000	13
4235.741465	296.381165	-0.007329	-0.025028	15
4239.780536	153.984924	-0.003813	0.000235	17
4243.866424	149.315826	-0.007887	-0.006952	19
