time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4181.814056	214.611023	0.785617	-0.100000	75
4183.845162	25.395216	-0.797302	0.057077	77
4185.875370	23.806360	-0.746599	0.048846	79
4187.874438	23.423456	-0.678883	0.049880	81
4189.860668	29.707338	-0.555977	0.100000	83
4191.842568	29.925858	-0.438830	0.100000	85
4193.831880	14.368654	-0.393055	0.098064	87
4195.826307	15.664293	-0.175862	0.100000	89
4197.825580	354.567505	-0.262841	0.100000	91
4199.834062	345.314240	-0.220317	0.100000	93
4201.883380	344.491180	-0.196892	0.100000	95
4203.921279	344.690216	-0.181354	0.100000	97
4205.901342	327.076691	-0.134891	0.100000	99
4207.807569	284.677246	-0.056106	0.100000	101
4211.544680	116.952522	-0.002721	0.005909	103
4215.597338	232.223343	-0.033111	0.004815	105
